title,company_name,location,description,link
Data Analysis Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeFreelance / ProjectEntry Level · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL,https://wuzzuf.net/jobs/p/oOKRpUGGzzuO-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=23&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Insights Specialist,WUZZUF -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Business Intelligence · Communication · Communication skills · Computer Science · Data Analysis · SQL,https://wuzzuf.net/jobs/p/QewilVmKKm8a-Senior-Data-Insights-Specialist-WUZZUF-Cairo-Egypt?o=24&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Center Engineer,Smart System -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNP · Computer Science · computer · Data center · Information Technology (IT) · Network · Systems Engineering,https://wuzzuf.net/jobs/p/ySBdyrYqiyty-Senior-Data-Center-Engineer-Smart-System-Cairo-Egypt?o=25&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Engineer,Worex -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Machine Learning · Computer Science · Big Data,https://wuzzuf.net/jobs/p/eDPM1YPgMI8J-Senior-Data-Engineer-Worex-Cairo-Egypt?o=26&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior BI Developer - Data Engineer,Centro CDX -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Power BI · SQL · Information Technology (IT) · Software Development · Software Engineering · Computer Science · Computer Engineering · TSQL,https://wuzzuf.net/jobs/p/BWanTjToqCIh-Senior-BI-Developer---Data-Engineer-Centro-CDX-Cairo-Egypt?o=27&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst,GPS -,"Nozha, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Data Analysis · Reporting · Computer Science · English · MS Office · Information Technology (IT),https://wuzzuf.net/jobs/p/3gKxwLEn2AQf-Data-Analyst-GPS-Cairo-Egypt?o=28&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Digital Data Analyst (Remote Job),Mindfield -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Social Media · Digital Marketing · Data Analysis · Planning · Marketing · Google Analytics · Computer Science · Business Administration,https://wuzzuf.net/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=29&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Engineer,Edentech -,"Cairo, Egypt ",Full TimeExperienced · 5 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Engineering · Programming · Communication skills · Java · Software,https://wuzzuf.net/jobs/p/egXP5qBhk2WO-Senior-Data-Engineer-Edentech-Cairo-Egypt?o=30&l=sp&t=sj&a=data science jobs|search-v3|navbl
SAP Data Entry Team Leader,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full TimeManager · 3+ Yrs of Exp · males_only · Administration · SAP · MS Office · Data Entry · Microsoft Excel · Data · English · Typing · Skills · Administration,https://wuzzuf.net/jobs/p/MTxZMRn6iUSV-SAP-Data-Entry-Team-Leader-Cairo-Egypt?o=31&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Engineer,Cashcall -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Database · Information Technology (IT) · IT · ITIL · Computer Science · Software Development · SQL · Python,https://wuzzuf.net/jobs/p/ys4J6bHOlyOm-Senior-Data-Engineer-Cashcall-Cairo-Egypt?o=32&l=sp&t=sj&a=data science jobs|search-v3|navbl
