title,company_name,location,description,link
Senior Xamarin Developer,Smart IT -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Xamarin · Xamarin Forms · Xamarin Development · Software Development · developer · C# · Mobile Development · iOS,https://wuzzuf.net/jobs/p/7uaEYiu8NGWi-Senior-Xamarin-Developer-Smart-IT-Cairo-Egypt?o=338&l=sp&t=sj&a=data science jobs|search-v3|navbl
Dynamics AX Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · .Net · Microsoft Dynamics AX · Computer Engineering · X++ · Microsoft XQL Server · SQL,https://wuzzuf.net/jobs/p/65ZipdJ0Jufu-Dynamics-AX-Developer-Cairo-Egypt?o=339&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Python Developer,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Applications · Computer Science · Design · Engineering · Implementation · Software Development · Information Technology (IT) · Mathematics,https://wuzzuf.net/jobs/p/X1RY331ukvMk-Senior-Python-Developer-FlairsTech-Cairo-Egypt?o=340&l=sp&t=sj&a=data science jobs|search-v3|navbl
Odoo Implementation Support,El Batal Co. -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · ERP · Project Management · Odoo ERP · Computer Science · CRM,https://wuzzuf.net/jobs/p/xquPu0D9wXjo-Odoo-Implementation-Support-El-Batal-Co-Cairo-Egypt?o=341&l=sp&t=sj&a=data science jobs|search-v3|navbl
Backend Developer (PHP-Laravel),Rowaad -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · MongoDB · OOP · PHP · Programming · Software Development · MVC · MySQL,https://wuzzuf.net/jobs/p/9uc5zii1Bor0-Backend-Developer-PHP-Laravel-Rowaad-Cairo-Egypt?o=342&l=sp&t=sj&a=data science jobs|search-v3|navbl
Network Engineer,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · Networking · network engineer · Network Administration · Science · Technology,https://wuzzuf.net/jobs/p/CPRHQycIMYep-Network-Engineer-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt?o=343&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT Specialist,Flojics -,"Alexandria, Egypt ",Part TimeExperienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · IT · Installation · Technical Support · data privacy · computer · Communication,https://wuzzuf.net/jobs/p/iQsSNAhUt3by-IT-Specialist-Flojics-Alexandria-Egypt?o=344&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Full Stack PHP Developer,Luftborn -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Laravel · PHP · JavaScript · APIs · MVC · Agile · Computer Science,https://wuzzuf.net/jobs/p/wTt0w1hTxNMl-Senior-Full-Stack-PHP-Developer-Luftborn-Cairo-Egypt?o=345&l=sp&t=sj&a=data science jobs|search-v3|navbl
PHP Team Lead,Luftborn -,"Heliopolis, Cairo, Egypt ",Full TimeManager · 7 - 15 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Laravel · PHP · JavaScript · APIs · MVC · Agile · Computer Science,https://wuzzuf.net/jobs/p/pEZHi503EPZt-PHP-Team-Lead-Luftborn-Cairo-Egypt?o=346&l=sp&t=sj&a=data science jobs|search-v3|navbl
Application Consultant- ERP,Rednet It Services -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · ERP · Accounting · Microsoft SQL Server · Project Management · Technical Support · Problem Solving,https://wuzzuf.net/jobs/p/NPRjxt0pld2e-Application-Consultant--ERP-Rednet-It-Services-Cairo-Egypt?o=347&l=sp&t=sj&a=data science jobs|search-v3|navbl
Supply Chain Director,Al-Rowad for Plastic Pipes -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeSenior Management · 15 - 20 Yrs of Exp · males_preferred · Logistics/Supply Chain · Operations/Management · Purchasing/Procurement · Supply Chain · Logistics · Negotiation · Purchasing · Leadership Management · analytical thinking · Operations Management,https://wuzzuf.net/jobs/p/CJ3Iupffp9Nv-Supply-Chain-Director-Al-Rowad-for-Plastic-Pipes-Sharqia-Egypt?o=348&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior React Native Developer,Our Education -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · javaScript · React Native · Android · React · Computer Science,https://wuzzuf.net/jobs/p/oRaZTw8caUa4-Senior-React-Native-Developer-Our-Education-Cairo-Egypt?o=349&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Full Stack Engineer,SSC Egypt -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · APIs · CSS · Git · HTML · Information Technology (IT),https://wuzzuf.net/jobs/p/ZF0bxNrD7a23-Senior-Full-Stack-Engineer-SSC-Egypt-Cairo-Egypt?o=350&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior PHP Developer (Laravel),Our Education -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Laravel · HTML5 · CSS3 · MVC · Programming · javaScript,https://wuzzuf.net/jobs/p/qpRZo5Y8ilFc-Senior-PHP-Developer-Laravel-Our-Education-Cairo-Egypt?o=351&l=sp&t=sj&a=data science jobs|search-v3|navbl
System Integration Specialist,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Exchange · SQL · Health Care · HL7 · FHIR · PACS · JSON,https://wuzzuf.net/jobs/p/h9OXc9KXmeaw-System-Integration-Specialist-Cairo-Egypt?o=352&l=sp&t=sj&a=data science jobs|search-v3|navbl
UI UX Designer,Centro CDX -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Communication skills · computer · Computer Science · Engineering · Experience · Information Technology (IT) · Product,https://wuzzuf.net/jobs/p/VOB8emG5seG7-UI-UX-Designer-Centro-CDX-Cairo-Egypt?o=353&l=sp&t=sj&a=data science jobs|search-v3|navbl
SAP MM Team lead,WAVZ for Digital Transformation -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · ABAP · Computer Science · Information Technology (IT) · SAP MM · SAP · Mm,https://wuzzuf.net/jobs/p/T0dorCpCelId-SAP-MM-Team-lead-WAVZ-for-Digital-Transformation-Cairo-Egypt?o=354&l=sp&t=sj&a=data science jobs|search-v3|navbl
Cloud Engineer,34ML -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · MEAN Stack · Mobile Development · Objective-C · Software Design · Web Development · Web Design,https://wuzzuf.net/jobs/p/KTmhjx1susAz-Cloud-Engineer-34ML-Cairo-Egypt?o=355&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Full Stack - .Net Developer,Talent Supplier -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · API · Computer Science · Frontend · Information Technology (IT) · .Net · .net core · Full Stack,https://wuzzuf.net/jobs/p/AyeKGxnG0Co6-Senior-Full-Stack---Net-Developer-Talent-Supplier-Cairo-Egypt?o=356&l=sp&t=sj&a=data science jobs|search-v3|navbl
Operations Research Analyst,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Operations/Management · Analyst/Research · Analysis · Analyst · Operations Research · Research analyst · Research · Operations · Computer Science,https://wuzzuf.net/jobs/p/oF7SHVOwZVuR-Operations-Research-Analyst-Cairo-Egypt?o=357&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Developer (Asp Net Core / Blazor Full Stack),Streams -,"Mohandessin, Giza, Egypt ",Full TimeFreelance / ProjectExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Agile · ASP.Net · CSS · HTML · MVC · jQuery · .net core,https://wuzzuf.net/jobs/p/uL2p6gGJ9PDA-Senior-Developer-Asp-Net-Core-Blazor-Full-Stack-Streams-Giza-Egypt?o=358&l=sp&t=sj&a=data science jobs|search-v3|navbl
Medical Device Sales Representative (Mansoura),Sysmex Egypt LLC -,"Mansoura, Dakahlia, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Medical/Healthcare · Sales/Retail · Medical Sales · Medical · Sales · Veterinary · Agriculture · Communication · MEDICINE · Microsoft Office,https://wuzzuf.net/jobs/p/wNE54jz2uDDK-Medical-Device-Sales-Representative-Mansoura-Sysmex-Egypt-LLC-Dakahlia-Egypt?o=359&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior PHP Developer (Laravel With MongoDB),Almotahida Education -,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · AJAX · CSS3 · HTML5 · Information Technology (IT) · JavaScript · JSON · PHP,https://wuzzuf.net/jobs/p/te5E0BRbmlKm-Senior-PHP-Developer-Laravel-With-MongoDB-Almotahida-Education-Cairo-Egypt?o=360&l=sp&t=sj&a=data science jobs|search-v3|navbl
Technical Consultant .NET/SharePoint,alfanar -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Sharepoint · Microsoft .NET · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/Mv21JEMwZ3bs-Technical-Consultant-NETSharePoint-alfanar-Cairo-Egypt?o=361&l=sp&t=sj&a=data science jobs|search-v3|navbl
Devops Engineer,WUZZUF -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · DevOps · Computer Science · Deployment · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/07cxuCnQA0xR-Devops-Engineer-WUZZUF-Cairo-Egypt?o=362&l=sp&t=sj&a=data science jobs|search-v3|navbl
Front End Developer - Vue JS,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · Computer Science · javaScript · HTML · Angular · React · jQuery,https://wuzzuf.net/jobs/p/GSOezjNHupwT-Front-End-Developer---Vue-JS-Perfect-Presentation-Giza-Egypt?o=363&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior System Administrator - Linux expert,EGID company -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · System Administration · System administrator · Troubleshooting,https://wuzzuf.net/jobs/p/x7e9DgUsbUzC-Senior-System-Administrator---Linux-expert-EGID-company-Cairo-Egypt?o=364&l=sp&t=sj&a=data science jobs|search-v3|navbl
Software Implementation Specialist,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Implementation · Information Technology (IT) · SQL · Software · Computer Science · EMR · Nursing · LIS,https://wuzzuf.net/jobs/p/zwV1ltxWzfko-Software-Implementation-Specialist-Cairo-Egypt?o=365&l=sp&t=sj&a=data science jobs|search-v3|navbl
Junior Implementation Specialist,Confidential -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Nursing · LIS · RIS · Pharmacy information system · PHM,https://wuzzuf.net/jobs/p/jqSVIGkqIYzk-Junior-Implementation-Specialist-Cairo-Egypt?o=366&l=sp&t=sj&a=data science jobs|search-v3|navbl
Oracle Financial Functional Consultant,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · AP · AR · Banking · Computer Science · ERP · Finance · Implementation,https://wuzzuf.net/jobs/p/kkB3mRdGImBB-Oracle-Financial-Functional-Consultant-Cairo-Egypt?o=367&l=sp&t=sj&a=data science jobs|search-v3|navbl
Odoo Developer,Mobica -,"Abu Rawash, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · developer · Information Technology (IT) · Odoo Developer · Odoo · Python · Computer Engineering,https://wuzzuf.net/jobs/p/eGQvdJiP6Axp-Odoo-Developer-Mobica-Giza-Egypt?o=368&l=sp&t=sj&a=data science jobs|search-v3|navbl
Technical Lead - Growing Co,Confidential -,"Suez, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · ASP.Net · Computer Science · Information Technology (IT) · Software Development · MVC · jQuery · .Net,https://wuzzuf.net/jobs/p/Io0vOS0oIfoF-Technical-Lead---Growing-Co-Suez-Egypt?o=369&l=sp&t=sj&a=data science jobs|search-v3|navbl
Business Analyst - Growing Multinational Co,Confidential -,"Suez, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Arabic · Documentation · Agile,https://wuzzuf.net/jobs/p/lIU65847E9ch-Business-Analyst---Growing-Multinational-Co-Suez-Egypt?o=370&l=sp&t=sj&a=data science jobs|search-v3|navbl
Final Inspection Section-Head,Sierra Engineering & Manufacturing -,"Cairo, Egypt ",Full TimeManager · 7+ Yrs of Exp · Quality · Engineering - Mechanical/Electrical · Automation System · Computer Skills · Engineering · Inspection · Quality Management · Quality Control · Mechanical Engineering · Science,https://wuzzuf.net/jobs/p/FAQOurk69EHR-Final-Inspection-Section-Head-Sierra-Engineering-Manufacturing-Cairo-Egypt?o=371&l=sp&t=sj&a=data science jobs|search-v3|navbl
Application Manager,The Egyptian Microfinance Company- Maksab -,"New Cairo, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Programming · Software Engineering · Computer Engineering · Computer Science · Software · Communication skills · Troubleshooting,https://wuzzuf.net/jobs/p/Z3HMykK4fIVP-Application-Manager-The-Egyptian-Microfinance-Company--Maksab-Cairo-Egypt?o=372&l=sp&t=sj&a=data science jobs|search-v3|navbl
Sr. Software Quality Control Engineer,BlueCloud -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Communication · Automation · Communication skills · Computer Engineering · Computer Science · Management · Engineering,https://wuzzuf.net/jobs/p/ZuK6CqP7K0oF-Sr-Software-Quality-Control-Engineer-BlueCloud-Cairo-Egypt?o=373&l=sp&t=sj&a=data science jobs|search-v3|navbl
Technical Solutions Delivery Manager,Streams -,"Mohandessin, Giza, Egypt ",Full TimeManager · 8 - 15 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Project Management · Computer Science · Engineering · Management · Business Analysis · Communication,https://wuzzuf.net/jobs/p/NHHgEKW3LYas-Technical-Solutions-Delivery-Manager-Streams-Giza-Egypt?o=374&l=sp&t=sj&a=data science jobs|search-v3|navbl
Linux System Administrator,Egpay -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Administration · Installation/Maintenance/Repair · IT/Software Development · Administration · Apache · Computer Science · Database · Engineering · Information Technology (IT) · Linux,https://wuzzuf.net/jobs/p/SYgkPpqdGpK2-Linux-System-Administrator-Egpay-Cairo-Egypt?o=375&l=sp&t=sj&a=data science jobs|search-v3|navbl
SAP PP/QM/PM Consultant,BEAM Consolidated -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · PP · QM · SAP PP · SAP · Engineering · SAP implemetations,https://wuzzuf.net/jobs/p/2nBT01vMlNhz-SAP-PPQMPM-Consultant-BEAM-Consolidated-Cairo-Egypt?o=376&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Full Stack Developer,Procrew -,"Alexandria, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · API · Development · AWS · Agile · Software Development · Information Technology (IT) · Software,https://wuzzuf.net/jobs/p/yboiANgXptPa-Senior-Full-Stack-Developer-Procrew-Alexandria-Egypt?o=377&l=sp&t=sj&a=data science jobs|search-v3|navbl
PHP Developer - Fluent English Speaker,Confidential -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · PHP developer · CSS3 · Git · HTML5 · Information Technology (IT) · JavaScript · Laravel,https://wuzzuf.net/jobs/p/Z0l1FjGn8H7c-PHP-Developer---Fluent-English-Speaker-Cairo-Egypt?o=378&l=sp&t=sj&a=data science jobs|search-v3|navbl
Microsoft 365 Security Engineer,Global Brands -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Active Directory · Azure · Cloud · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Microsoft,https://wuzzuf.net/jobs/p/LolcRewCftca-Microsoft-365-Security-Engineer-Global-Brands-Cairo-Egypt?o=379&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT Help Desk Specialist,Value -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer · Computer Science · Help Desk · Installation · CCNA · SQL · MCSA,https://wuzzuf.net/jobs/p/3Giy7EOE7OW5-IT-Help-Desk-Specialist-Value-Cairo-Egypt?o=380&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT Specialist,Creative Motion -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Internet Security · Computer Systems · Telecom Engineering · Engineering · Installation · Technical Support,https://wuzzuf.net/jobs/p/puPtJcngrbPJ-IT-Specialist-Creative-Motion-Cairo-Egypt?o=381&l=sp&t=sj&a=data science jobs|search-v3|navbl
Network Trainer-Instructor,MICA -,"Haram, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Computer Science · Electronics · Information Technology (IT) · MCSA · Training · Troubleshooting · Cisco CCNA,https://wuzzuf.net/jobs/p/6xfbnsDNTJ6k-Network-Trainer-Instructor-MICA-Giza-Egypt?o=382&l=sp&t=sj&a=data science jobs|search-v3|navbl
Business Unit Manager,Confidential -,"Cairo, Egypt ",Full TimeManager · 3 - 14 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Pharmaceutical · Pharmacy · Science · Business Development · Sales · sales skills · Agile,https://wuzzuf.net/jobs/p/Uth7ke550Y0n-Business-Unit-Manager-Cairo-Egypt?o=383&l=sp&t=sj&a=data science jobs|search-v3|navbl
UI/UX Designer (On-Site),Confidential -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · UI · UX · Computer Science · Design · CSS · HTML5 · Bootstrap,https://wuzzuf.net/jobs/p/ojBuupoBhu2J-UIUX-Designer-On-Site-Giza-Egypt?o=384&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Full Stack Developer,Dimensions Information Technology -,"Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · ASP.NET · SQL · .NET · MVC · Angular · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/Se4ToaKGvpUT-Senior-Full-Stack-Developer-Dimensions-Information-Technology-Cairo-Egypt?o=385&l=sp&t=sj&a=data science jobs|search-v3|navbl
Oracle NetSuite Technical Consultant,Advanced Techniques Solutions for Software Company  -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · NetSuite · Oracle · English · SQL · Software Development,https://wuzzuf.net/jobs/p/rYlszC13HE6B-Oracle-NetSuite-Technical-Consultant-Advanced-Techniques-Solutions-for-Software-Company-Cairo-Egypt?o=386&l=sp&t=sj&a=data science jobs|search-v3|navbl
Software Engineer,Chubb life Insurance -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · javaScript · Computer Science · Web Development · Software · HTML,https://wuzzuf.net/jobs/p/INBZBxshKu8B-Software-Engineer-Chubb-life-Insurance-Cairo-Egypt?o=387&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior System Administrator,Confidential -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CCNA · Computer Science · Information Technology (IT) · Infrastructure · Software Engineering · Cisco · Engineering · Microsoft,https://wuzzuf.net/jobs/p/UhCILGu2CTEC-Senior-System-Administrator-Giza-Egypt?o=388&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Strategy Specialist,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Business Development · IT/Software Development · Project/Program Management · Management · Project Management · Computer Science · Information Technology (IT) · Engineering · Microsoft Excel,https://wuzzuf.net/jobs/p/0TOBtG12rkMk-Senior-Strategy-Specialist-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=389&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Automation Test Engineer -(Java),Cegedim -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · API · Computer Science · Information Technology (IT) · QA · Selenium · Software Testing,https://wuzzuf.net/jobs/p/iZbx3X58f1fq-Senior-Automation-Test-Engineer--Java-Cegedim-Cairo-Egypt?o=390&l=sp&t=sj&a=data science jobs|search-v3|navbl
Frontend Developer(E-Business),Cegedim -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · Frontend · E-Business · HTML · CSS · jQuery,https://wuzzuf.net/jobs/p/g9rokQH6MHHV-Frontend-DeveloperE-Business-Cegedim-Cairo-Egypt?o=391&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Java Developer,Cegedim -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Software Engineering · Software Development · Java Development · Design · Java EE,https://wuzzuf.net/jobs/p/iyVI4QxEsPiG-Senior-Java-Developer-Cegedim-Cairo-Egypt?o=392&l=sp&t=sj&a=data science jobs|search-v3|navbl
Web Developer,Akhnaton for Trading & Distributing  -,"Downtown, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · PHP · Software Development · Web · Information Technology (IT) · Web Development · Computer Engineering · Computer Science,https://wuzzuf.net/jobs/p/OGbcaevuFODl-Web-Developer-Akhnaton-for-Trading-Distributing-Cairo-Egypt?o=393&l=sp&t=sj&a=data science jobs|search-v3|navbl
Odoo Developer,Yodawy -,"Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Software Development · GitHub · HTML · PostgreSQL · JavaScript · JQuery · ORM,https://wuzzuf.net/jobs/p/WtifiBqoY71G-Odoo-Developer-Yodawy-Cairo-Egypt?o=394&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Full Stack Instructor (PHP - Python),Confidential -,"Cairo, Egypt ",Full TimeExperienced · 6 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · PHP · PHP Development · PHP Web Development · Python · python development · CSS3 · HTML5,https://wuzzuf.net/jobs/p/iYqxXkiFejBm-Senior-Full-Stack-Instructor-PHP---Python-Cairo-Egypt?o=395&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior iOS Developer,Smartpan -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · iOS · Software Engineering · Computer Science · Engineering · APIs · Git · JSON,https://wuzzuf.net/jobs/p/yL71OsYqneuI-Senior-iOS-Developer-Smartpan-Cairo-Egypt?o=396&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Android Developer,Procrew -,"Alexandria, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · AWS · GIT · Computer Science · APIs · CI,https://wuzzuf.net/jobs/p/uQR2RBd7KM2C-Senior-Android-Developer-Procrew-Alexandria-Egypt?o=397&l=sp&t=sj&a=data science jobs|search-v3|navbl
District Manager,Confidential -,"Sohag, Egypt ",Full TimeManager · 3 - 5 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Communication · Medical representative · Medical · Pharmacy · Sales · Sales Target · MEDICINE,https://wuzzuf.net/jobs/p/xSETw4wCoGpT-District-Manager-Sohag-Egypt?o=398&l=sp&t=sj&a=data science jobs|search-v3|navbl
Application Support Engineer,Confidential -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Database · Engineering · Information Technology (IT) · Network · Oracle · Security · Windows,https://wuzzuf.net/jobs/p/X8vUBgHjP8f1-Application-Support-Engineer-Cairo-Egypt?o=399&l=sp&t=sj&a=data science jobs|search-v3|navbl
Software Tester (Manual Testing),Atomica -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Communication skills · Information Technology (IT) · Performance · Project Management · Quality Control · QA · Software Testing,https://wuzzuf.net/jobs/p/3V8k7hEUQwHI-Software-Tester-Manual-Testing-Atomica-Cairo-Egypt?o=400&l=sp&t=sj&a=data science jobs|search-v3|navbl
